"","code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre2","pre3","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all","time_rating","rating"
"128",64,3,3,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,29,0.805555556,31,0.861111111,88,0.733333333,2,7,2,2.9,"below",6.6,2.2,3.806282,37.763215,"pre4",2.4
"129",65,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,34,0.944444444,29,0.805555556,102,0.85,3,7,2.2,0.4,"control",3.7,4.45,8.363002,38.038225,"pre1",6.1
"130",65,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,34,0.944444444,29,0.805555556,102,0.85,3,7,2.2,0.4,"control",3.7,4.45,8.363002,38.038225,"pre4",5.6
"131",66,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,29,0.805555556,28,0.777777778,80,0.666666667,3,1.2,2.4,3.5,"below",6.15,3.3,4.41095,35.42018,"pre1",3.5
"132",66,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,29,0.805555556,28,0.777777778,80,0.666666667,3,1.2,2.4,3.5,"below",6.15,3.3,4.41095,35.42018,"pre4",2.1
"133",67,3,4,4,4,4,4,4,4,0,4,4,3,0,4,4,3,3,4,29,0.805555556,24,0.666666667,81,0.675,2,4.8,4.6,5,"below",4,4.3,10.5871415,49.91602,"pre1",4.6
"134",67,3,4,4,4,4,4,4,4,0,4,4,3,0,4,4,3,3,4,29,0.805555556,24,0.666666667,81,0.675,2,4.8,4.6,5,"below",4,4.3,10.5871415,49.91602,"pre4",4.8
"135",68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,0.944444444,32,0.888888889,87,0.725,1,6.6,7.7,9.2,"above",3.45,4.1,6.6269685,33.62272,"pre1",7
"136",68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,0.944444444,32,0.888888889,87,0.725,1,6.6,7.7,9.2,"above",3.45,4.1,6.6269685,33.62272,"pre4",7.7
"137",69,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28,0.777777778,24,0.666666667,82,0.683333333,1,2.5,1.5,2.5,"below",6.15,2.7,5.1950305,39.87968,"pre1",6.1
"138",69,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28,0.777777778,24,0.666666667,82,0.683333333,1,2.5,1.5,2.5,"below",6.15,2.7,5.1950305,39.87968,"pre4",2.2
"139",70,1,2,4,4,3,4,3,3,1,2,2,3,1,1,3,1,2,3,26,0.722222222,25,0.694444444,88,0.733333333,2,5,4.6,1.3,"below",7.35,2.2,7.67018,52.1502,"pre1",4.9
"140",70,1,2,4,4,3,4,3,3,1,2,2,3,1,1,3,1,2,3,26,0.722222222,25,0.694444444,88,0.733333333,2,5,4.6,1.3,"below",7.35,2.2,7.67018,52.1502,"pre4",2.3
"141",71,1,2,3,1,2,3,2,1,1,2,3,2,2,1,2,1,1,2,29,0.805555556,27,0.75,88,0.733333333,1,4.7,4.6,6.7,"below",6.8,2.9,6.842088,44.391615,"pre1",7.8
"142",71,1,2,3,1,2,3,2,1,1,2,3,2,2,1,2,1,1,2,29,0.805555556,27,0.75,88,0.733333333,1,4.7,4.6,6.7,"below",6.8,2.9,6.842088,44.391615,"pre4",4.2
"143",72,3,3,4,4,3,3,4,4,0,4,4,3,4,0,4,0,2,4,27,0.75,24,0.666666667,81,0.675,2,7,6,4,"control",4.7,3.55,10.9484405,57.1151,"pre1",6.9
"144",72,3,3,4,4,3,3,4,4,0,4,4,3,4,0,4,0,2,4,27,0.75,24,0.666666667,81,0.675,2,7,6,4,"control",4.7,3.55,10.9484405,57.1151,"pre4",6.8
"145",73,0,1,1,0,2,1,1,3,3,1,3,1,1,1,1,0,1,0,30,0.833333333,31,0.861111111,90,0.75,1,6.4,7.6,8.8,"above",6.7,2.35,4.1003457,33.733045,"pre1",3.6
"146",73,0,1,1,0,2,1,1,3,3,1,3,1,1,1,1,0,1,0,30,0.833333333,31,0.861111111,90,0.75,1,6.4,7.6,8.8,"above",6.7,2.35,4.1003457,33.733045,"pre4",7.8
"147",74,3,2,3,4,1,2,2,3,3,2,3,3,3,3,4,4,2,1,26,0.722222222,28,0.777777778,90,0.75,1,5,6,5,"above",4.75,3.5,6.7566745,41.98138,"pre1",4.8
"148",74,3,2,3,4,1,2,2,3,3,2,3,3,3,3,4,4,2,1,26,0.722222222,28,0.777777778,90,0.75,1,5,6,5,"above",4.75,3.5,6.7566745,41.98138,"pre4",6.9
"149",75,3,3,3,4,3,3,3,2,3,3,3,3,1,2,3,3,3,3,29,0.805555556,24,0.666666667,93,0.775,2,4.8,5.9,5.5,"control",5.9,2.6,4.606528,37.66031,"pre1",5.9
"150",75,3,3,3,4,3,3,3,2,3,3,3,3,1,2,3,3,3,3,29,0.805555556,24,0.666666667,93,0.775,2,4.8,5.9,5.5,"control",5.9,2.6,4.606528,37.66031,"pre4",3.5
"151",76,2,3,3,3,3,2,4,4,3,3,2,2,1,3,4,1,2,3,31,0.861111111,27,0.75,91,0.758333333,2,3.1,2.8,3,"below",4.5,3.5,6.3747055,41.060095,"pre1",4.8
"152",76,2,3,3,3,3,2,4,4,3,3,2,2,1,3,4,1,2,3,31,0.861111111,27,0.75,91,0.758333333,2,3.1,2.8,3,"below",4.5,3.5,6.3747055,41.060095,"pre4",3.2
"153",77,1,4,3,3,2,3,2,3,3,3,3,3,1,3,3,3,3,3,35,0.972222222,29,0.805555556,85,0.708333333,2,6.6,5.2,5.9,"above",4.4,3.3,4.35375,35.67522,"pre1",5
"154",77,1,4,3,3,2,3,2,3,3,3,3,3,1,3,3,3,3,3,35,0.972222222,29,0.805555556,85,0.708333333,2,6.6,5.2,5.9,"above",4.4,3.3,4.35375,35.67522,"pre4",4.8
"155",78,3,4,3,3,4,3,3,3,2,3,2,3,3,2,3,1,3,4,35,0.972222222,35,0.972222222,113,0.941666667,1,8.4,8.8,6.3,"above",3.35,4.6,11.2956855,44.275715,"pre1",8.9
"156",78,3,4,3,3,4,3,3,3,2,3,2,3,3,2,3,1,3,4,35,0.972222222,35,0.972222222,113,0.941666667,1,8.4,8.8,6.3,"above",3.35,4.6,11.2956855,44.275715,"pre4",8.1
"157",79,2,4,4,2,3,3,3,4,2,3,2,3,3,3,4,1,2,3,28,0.777777778,31,0.861111111,87,0.725,2,5.4,4.1,5.2,"control",4.75,3.75,5.2733625,34.80585,"pre1",5
"158",79,2,4,4,2,3,3,3,4,2,3,2,3,3,3,4,1,2,3,28,0.777777778,31,0.861111111,87,0.725,2,5.4,4.1,5.2,"control",4.75,3.75,5.2733625,34.80585,"pre4",4.9
"159",80,1,4,4,2,1,2,1,1,2,1,3,1,1,1,3,1,2,1,29,0.805555556,29,0.805555556,76,0.633333333,2,4.5,3,4.7,"below",5.6,3.15,5.3639895,38.164985,"pre1",6.6
"160",80,1,4,4,2,1,2,1,1,2,1,3,1,1,1,3,1,2,1,29,0.805555556,29,0.805555556,76,0.633333333,2,4.5,3,4.7,"below",5.6,3.15,5.3639895,38.164985,"pre4",5.7
"161",81,3,3,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,34,0.944444444,27,0.75,96,0.8,2,6,6.5,4.2,"above",5.8,3.25,6.3634765,45.629815,"pre1",6.3
"162",81,3,3,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,34,0.944444444,27,0.75,96,0.8,2,6,6.5,4.2,"above",5.8,3.25,6.3634765,45.629815,"pre4",7.1
"163",82,3,4,3,4,3,1,4,4,4,4,4,3,3,3,4,4,2,4,29,0.805555556,29,0.805555556,78,0.65,1,2.4,3,6.2,"above",7.65,2.95,4.929031,45.135025,"pre1",5.2
"164",82,3,4,3,4,3,1,4,4,4,4,4,3,3,3,4,4,2,4,29,0.805555556,29,0.805555556,78,0.65,1,2.4,3,6.2,"above",7.65,2.95,4.929031,45.135025,"pre4",4
"165",83,0,3,3,3,2,3,3,2,3,1,2,1,0,1,3,2,2,1,34,0.944444444,24,0.666666667,85,0.708333333,1,2.9,2.2,2.5,"below",6,3.25,7.6114195,46.546725,"pre1",7.7
"166",83,0,3,3,3,2,3,3,2,3,1,2,1,0,1,3,2,2,1,34,0.944444444,24,0.666666667,85,0.708333333,1,2.9,2.2,2.5,"below",6,3.25,7.6114195,46.546725,"pre4",1.6
"167",84,3,4,4,4,3,4,4,4,0,4,4,4,3,3,3,1,2,4,34,0.944444444,28,0.777777778,99,0.825,1,4.9,5.7,3.1,"control",4.3,4.5,15.3853175,58.284995,"pre1",5.9
"168",84,3,4,4,4,3,4,4,4,0,4,4,4,3,3,3,1,2,4,34,0.944444444,28,0.777777778,99,0.825,1,4.9,5.7,3.1,"control",4.3,4.5,15.3853175,58.284995,"pre4",5.5
"169",85,3,4,4,4,3,3,3,3,3,4,4,3,2,1,4,3,3,3,33,0.916666667,28,0.777777778,95,0.791666667,2,7,5.6,6,"control",4.7,2.85,4.569705,32.317495,"pre1",3.7
"170",85,3,4,4,4,3,3,3,3,3,4,4,3,2,1,4,3,3,3,33,0.916666667,28,0.777777778,95,0.791666667,2,7,5.6,6,"control",4.7,2.85,4.569705,32.317495,"pre4",6.6
"171",86,1,3,2,3,2,1,2,2,1,3,3,3,2,2,3,2,2,3,33,0.916666667,31,0.861111111,75,0.625,2,4.5,2.8,3,"below",4.95,3.25,5.0048285,44.29033,"pre1",5
"172",86,1,3,2,3,2,1,2,2,1,3,3,3,2,2,3,2,2,3,33,0.916666667,31,0.861111111,75,0.625,2,4.5,2.8,3,"below",4.95,3.25,5.0048285,44.29033,"pre4",4.8
"173",87,2,4,3,3,3,3,3,3,2,3,3,3,2,1,4,1,3,3,31,0.861111111,25,0.694444444,83,0.691666667,1,6,5,5,"above",5,2.95,4.3272515,39.55701,"pre1",4.3
"174",87,2,4,3,3,3,3,3,3,2,3,3,3,2,1,4,1,3,3,31,0.861111111,25,0.694444444,83,0.691666667,1,6,5,5,"above",5,2.95,4.3272515,39.55701,"pre4",5.9
"175",88,3,4,3,2,1,2,3,3,3,2,2,2,1,1,3,1,2,2,32,0.888888889,27,0.75,90,0.75,2,4.5,4,6.4,"control",5,3.35,4.375949,29.72562,"pre1",3.8
"176",88,3,4,3,2,1,2,3,3,3,2,2,2,1,1,3,1,2,2,32,0.888888889,27,0.75,90,0.75,2,4.5,4,6.4,"control",5,3.35,4.375949,29.72562,"pre4",1.6
"177",89,3,4,4,4,4,3,4,4,1,4,4,4,4,3,4,3,3,4,35,0.972222222,29,0.805555556,92,0.766666667,1,5.3,5.3,7.2,"control",3.85,3.3,5.41058,34.72556,"pre1",5.7
"178",89,3,4,4,4,4,3,4,4,1,4,4,4,4,3,4,3,3,4,35,0.972222222,29,0.805555556,92,0.766666667,1,5.3,5.3,7.2,"control",3.85,3.3,5.41058,34.72556,"pre4",6.4
"179",90,3,4,4,4,3,3,3,3,3,4,4,3,2,3,3,2,3,4,32,0.888888889,26,0.722222222,93,0.775,2,3.7,2.6,4.7,"control",5.9,3.05,4.656481,38.40457,"pre1",5.8
"180",90,3,4,4,4,3,3,3,3,3,4,4,3,2,3,3,2,3,4,32,0.888888889,26,0.722222222,93,0.775,2,3.7,2.6,4.7,"control",5.9,3.05,4.656481,38.40457,"pre4",2.7
"181",91,3,4,4,3,2,3,3,3,2,3,3,3,3,3,4,1,2,3,30,0.833333333,22,0.611111111,79,0.658333333,1,2.5,2.1,2,"below",5.8,3.2,7.7065285,53.107005,"pre1",5.7
"182",91,3,4,4,3,2,3,3,3,2,3,3,3,3,3,4,1,2,3,30,0.833333333,22,0.611111111,79,0.658333333,1,2.5,2.1,2,"below",5.8,3.2,7.7065285,53.107005,"pre4",4.5
"183",92,3,3,3,3,1,3,2,3,0,2,1,3,3,1,3,1,2,1,35,0.972222222,27,0.75,97,0.808333333,2,6.2,5.9,7.6,"control",6.1,2.55,3.2649205,27.54395,"pre1",8.7
"184",92,3,3,3,3,1,3,2,3,0,2,1,3,3,1,3,1,2,1,35,0.972222222,27,0.75,97,0.808333333,2,6.2,5.9,7.6,"control",6.1,2.55,3.2649205,27.54395,"pre4",9.6
"185",93,3,3,3,1,3,4,3,3,1,3,1,3,4,1,3,1,3,1,30,0.833333333,27,0.75,91,0.758333333,2,6.7,6.1,7.6,"above",4.65,3.4,5.5067125,32.93737,"pre1",6.5
"186",93,3,3,3,1,3,4,3,3,1,3,1,3,4,1,3,1,3,1,30,0.833333333,27,0.75,91,0.758333333,2,6.7,6.1,7.6,"above",4.65,3.4,5.5067125,32.93737,"pre4",6.2
"187",94,3,3,2,3,2,2,2,1,3,3,2,3,1,2,3,1,2,3,28,0.777777778,27,0.75,100,0.833333333,2,7.3,4.9,5.8,"above",4.85,3.35,6.3505835,38.682015,"pre1",7.1
"188",94,3,3,2,3,2,2,2,1,3,3,2,3,1,2,3,1,2,3,28,0.777777778,27,0.75,100,0.833333333,2,7.3,4.9,5.8,"above",4.85,3.35,6.3505835,38.682015,"pre4",4.9
"189",95,0,2,3,4,1,4,0,3,3,1,2,1,1,1,1,0,1,2,34,0.944444444,24,0.666666667,99,0.825,2,2.6,3.4,0.7,"below",4.4,3.45,6.494848,45.208055,"pre1",5.4
"190",95,0,2,3,4,1,4,0,3,3,1,2,1,1,1,1,0,1,2,34,0.944444444,24,0.666666667,99,0.825,2,2.6,3.4,0.7,"below",4.4,3.45,6.494848,45.208055,"pre4",1.3
"191",96,2,3,3,3,1,1,3,3,2,3,2,2,3,3,3,1,1,3,31,0.861111111,26,0.722222222,76,0.633333333,2,5,5.9,5.3,"above",6.1,2.8,3.564481,35.88942,"pre1",4.9
"192",96,2,3,3,3,1,1,3,3,2,3,2,2,3,3,3,1,1,3,31,0.861111111,26,0.722222222,76,0.633333333,2,5,5.9,5.3,"above",6.1,2.8,3.564481,35.88942,"pre4",5.9
"193",97,3,4,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,4,31,0.861111111,28,0.777777778,95,0.791666667,2,4.8,5.8,6.3,"above",4.4,3.2,5.2961005,37.91438,"pre1",5.6
"194",97,3,4,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,4,31,0.861111111,28,0.777777778,95,0.791666667,2,4.8,5.8,6.3,"above",4.4,3.2,5.2961005,37.91438,"pre4",5.8
"195",98,3,3,3,3,4,3,3,3,2,3,4,3,2,3,4,3,3,3,29,0.805555556,21,0.583333333,87,0.725,2,3,2.5,6.6,"control",4.9,3.3,4.3553285,35.35462,"pre1",4.8
"196",98,3,3,3,3,4,3,3,3,2,3,4,3,2,3,4,3,3,3,29,0.805555556,21,0.583333333,87,0.725,2,3,2.5,6.6,"control",4.9,3.3,4.3553285,35.35462,"pre4",5.2
"197",99,2,3,4,3,2,3,1,3,1,1,2,2,3,1,3,1,2,1,31,0.861111111,25,0.694444444,82,0.683333333,1,7.3,6.5,7.5,"above",5.9,3.2,7.5207145,39.50405,"pre1",6.7
"198",99,2,3,4,3,2,3,1,3,1,1,2,2,3,1,3,1,2,1,31,0.861111111,25,0.694444444,82,0.683333333,1,7.3,6.5,7.5,"above",5.9,3.2,7.5207145,39.50405,"pre4",6.3
"199",100,4,3,4,1,3,3,1,4,2,3,3,3,0,2,4,1,3,4,32,0.888888889,27,0.75,83,0.691666667,1,8,6.7,8.3,"above",3.6,4.45,11.129128,54.67211,"pre1",8.3
"200",100,4,3,4,1,3,3,1,4,2,3,3,3,0,2,4,1,3,4,32,0.888888889,27,0.75,83,0.691666667,1,8,6.7,8.3,"above",3.6,4.45,11.129128,54.67211,"pre4",8.7
"201",101,1,3,2,3,1,1,1,2,3,2,1,2,1,1,2,2,1,2,30,0.833333333,30,0.833333333,77,0.641666667,2,3.6,4.4,4.2,"control",4.95,2.65,4.890543,37.68265,"pre1",3.8
"202",101,1,3,2,3,1,1,1,2,3,2,1,2,1,1,2,2,1,2,30,0.833333333,30,0.833333333,77,0.641666667,2,3.6,4.4,4.2,"control",4.95,2.65,4.890543,37.68265,"pre4",4
"203",102,2,3,3,4,4,3,3,4,3,4,4,3,2,2,3,2,3,4,24,0.666666667,25,0.694444444,96,0.8,1,3.7,2.7,2.8,"control",6.75,2.25,4.859154,43.88951,"pre1",5.6
"204",102,2,3,3,4,4,3,3,4,3,4,4,3,2,2,3,2,3,4,24,0.666666667,25,0.694444444,96,0.8,1,3.7,2.7,2.8,"control",6.75,2.25,4.859154,43.88951,"pre4",4
"205",103,2,4,3,2,3,1,1,1,1,1,3,1,1,1,3,0,2,1,32,0.888888889,32,0.888888889,106,0.883333333,1,5.6,4.5,4.9,"above",4.85,4.2,10.1589085,41.01698,"pre1",6.2
"206",103,2,4,3,2,3,1,1,1,1,1,3,1,1,1,3,0,2,1,32,0.888888889,32,0.888888889,106,0.883333333,1,5.6,4.5,4.9,"above",4.85,4.2,10.1589085,41.01698,"pre4",6.2
"207",104,3,4,4,4,3,3,2,4,0,4,4,3,3,3,4,2,3,4,34,0.944444444,30,0.833333333,91,0.758333333,1,3.9,4.5,4.3,"control",4.05,3.8,14.8526355,58.164395,"pre1",6.6
"208",104,3,4,4,4,3,3,2,4,0,4,4,3,3,3,4,2,3,4,34,0.944444444,30,0.833333333,91,0.758333333,1,3.9,4.5,4.3,"control",4.05,3.8,14.8526355,58.164395,"pre4",5.2
"209",105,1,3,3,3,1,1,3,3,1,1,1,1,1,1,3,1,1,1,32,0.888888889,27,0.75,108,0.9,2,5.1,7,3.6,"above",3.2,4.4,8.321969,38.652915,"pre1",6.6
"210",105,1,3,3,3,1,1,3,3,1,1,1,1,1,1,3,1,1,1,32,0.888888889,27,0.75,108,0.9,2,5.1,7,3.6,"above",3.2,4.4,8.321969,38.652915,"pre4",4
"211",106,3,4,3,4,4,3,4,3,3,3,4,3,2,3,4,1,3,3,28,0.777777778,21,0.583333333,76,0.633333333,2,6,5.2,6,"above",5.95,2.3,3.4380335,39.875565,"pre1",4.8
"212",106,3,4,3,4,4,3,4,3,3,3,4,3,2,3,4,1,3,3,28,0.777777778,21,0.583333333,76,0.633333333,2,6,5.2,6,"above",5.95,2.3,3.4380335,39.875565,"pre4",5.9
"213",107,2,4,3,4,2,2,2,1,3,3,3,2,2,3,3,2,2,3,33,0.916666667,29,0.805555556,103,0.858333333,3,5.2,2.4,0.7,"below",4.35,3.85,5.4693425,33.219755,"pre1",6.6
"214",107,2,4,3,4,2,2,2,1,3,3,3,2,2,3,3,2,2,3,33,0.916666667,29,0.805555556,103,0.858333333,3,5.2,2.4,0.7,"below",4.35,3.85,5.4693425,33.219755,"pre4",3.2
"215",108,3,3,3,4,2,1,3,3,1,3,1,3,1,3,4,1,2,3,32,0.888888889,28,0.777777778,81,0.675,2,5.4,5.1,5.5,"above",4.6,3.8,7.7744925,48.887235,"pre1",4.1
"216",108,3,3,3,4,2,1,3,3,1,3,1,3,1,3,4,1,2,3,32,0.888888889,28,0.777777778,81,0.675,2,5.4,5.1,5.5,"above",4.6,3.8,7.7744925,48.887235,"pre4",5.5
"217",109,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,2,3,27,0.75,27,0.75,86,0.716666667,2,7.1,6.9,8.5,"above",7.75,2.3,5.139191,42.77611,"pre1",7
"218",109,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,2,3,27,0.75,27,0.75,86,0.716666667,2,7.1,6.9,8.5,"above",7.75,2.3,5.139191,42.77611,"pre4",8.1
"219",110,4,3,4,3,4,4,4,4,3,4,4,4,1,2,4,3,3,4,30,0.833333333,29,0.805555556,87,0.725,1,5.4,4.3,3.8,"control",4.6,3.2,4.5210985,33.127245,"pre1",5.8
"220",110,4,3,4,3,4,4,4,4,3,4,4,4,1,2,4,3,3,4,30,0.833333333,29,0.805555556,87,0.725,1,5.4,4.3,3.8,"control",4.6,3.2,4.5210985,33.127245,"pre4",3.6
"221",111,1,3,4,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,33,0.916666667,30,0.833333333,93,0.775,2,0.8,0.7,0.9,"below",7.9,1.7,2.03699035,36.475225,"pre1",0.6
"222",111,1,3,4,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,33,0.916666667,30,0.833333333,93,0.775,2,0.8,0.7,0.9,"below",7.9,1.7,2.03699035,36.475225,"pre4",0.7
"223",112,3,4,3,3,3,3,3,2,1,3,3,3,1,2,3,2,3,3,28,0.777777778,21,0.583333333,81,0.675,2,2.6,2.1,6.4,"control",6.95,1.65,2.9040635,46.1688,"pre1",4.9
"224",112,3,4,3,3,3,3,3,2,1,3,3,3,1,2,3,2,3,3,28,0.777777778,21,0.583333333,81,0.675,2,2.6,2.1,6.4,"control",6.95,1.65,2.9040635,46.1688,"pre4",3.1
"225",113,2,4,2,2,4,3,3,1,2,3,2,3,3,3,3,2,3,3,25,0.694444444,29,0.805555556,73,0.608333333,2,6,5,8,"control",6.55,2.4,1.90338495,28.74859,"pre1",6.3
"226",113,2,4,2,2,4,3,3,1,2,3,2,3,3,3,3,2,3,3,25,0.694444444,29,0.805555556,73,0.608333333,2,6,5,8,"control",6.55,2.4,1.90338495,28.74859,"pre4",3.7
"227",114,1,3,3,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,34,0.944444444,33,0.916666667,100,0.833333333,3,4,4,5,"below",2.7,5.05,16.483798,51.892135,"pre1",5.3
"228",114,1,3,3,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,34,0.944444444,33,0.916666667,100,0.833333333,3,4,4,5,"below",2.7,5.05,16.483798,51.892135,"pre4",5
"229",115,3,4,2,3,2,2,3,3,3,3,3,3,1,1,3,1,2,3,35,0.972222222,34,0.944444444,103,0.858333333,2,2.7,3.7,2,"below",4.75,3.35,4.2399405,36.22375,"pre1",5.4
"230",115,3,4,2,3,2,2,3,3,3,3,3,3,1,1,3,1,2,3,35,0.972222222,34,0.944444444,103,0.858333333,2,2.7,3.7,2,"below",4.75,3.35,4.2399405,36.22375,"pre4",4.2
"231",116,2,3,2,3,3,3,4,4,2,3,3,2,1,1,3,1,2,3,36,1,26,0.722222222,105,0.875,3,4.4,5.2,5.8,"control",5.65,2.8,6.2114465,45.057615,"pre1",4.7
"232",116,2,3,2,3,3,3,4,4,2,3,3,2,1,1,3,1,2,3,36,1,26,0.722222222,105,0.875,3,4.4,5.2,5.8,"control",5.65,2.8,6.2114465,45.057615,"pre4",5.1
"233",117,3,3,4,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,24,0.666666667,27,0.75,82,0.683333333,2,4.5,2.4,3,"below",7.05,2.4,4.663895,37.35039,"pre1",4.9
"234",117,3,3,4,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,24,0.666666667,27,0.75,82,0.683333333,2,4.5,2.4,3,"below",7.05,2.4,4.663895,37.35039,"pre4",2.1
"235",118,3,4,3,3,3,2,3,4,2,3,4,3,3,1,4,1,3,4,30,0.833333333,27,0.75,81,0.675,1,3,3.5,6,"control",4.8,3.95,6.5403275,39.106415,"pre1",6
"236",118,3,4,3,3,3,2,3,4,2,3,4,3,3,1,4,1,3,4,30,0.833333333,27,0.75,81,0.675,1,3,3.5,6,"control",4.8,3.95,6.5403275,39.106415,"pre4",4.8
"237",119,2,4,3,4,4,1,3,4,3,4,4,3,1,0,4,1,3,4,31,0.861111111,24,0.666666667,82,0.683333333,1,3.8,5.2,5.3,"above",4.9,3,5.21077,40.82666,"pre1",5.8
"238",119,2,4,3,4,4,1,3,4,3,4,4,3,1,0,4,1,3,4,31,0.861111111,24,0.666666667,82,0.683333333,1,3.8,5.2,5.3,"above",4.9,3,5.21077,40.82666,"pre4",6
"239",120,2,3,3,3,2,3,2,2,1,3,3,3,1,2,2,1,2,3,28,0.777777778,27,0.75,79,0.658333333,2,5.1,5,5.6,"above",6.35,2.4,2.9969658,39.629715,"pre1",4.7
"240",120,2,3,3,3,2,3,2,2,1,3,3,3,1,2,2,1,2,3,28,0.777777778,27,0.75,79,0.658333333,2,5.1,5,5.6,"above",6.35,2.4,2.9969658,39.629715,"pre4",4.8
"241",121,2,4,3,3,3,3,4,3,1,3,3,4,3,1,4,1,2,3,28,0.777777778,28,0.777777778,74,0.616666667,1,5.9,6.7,4.6,"above",4.95,3.45,15.6956665,77.57177,"pre1",5.4
"242",121,2,4,3,3,3,3,4,3,1,3,3,4,3,1,4,1,2,3,28,0.777777778,28,0.777777778,74,0.616666667,1,5.9,6.7,4.6,"above",4.95,3.45,15.6956665,77.57177,"pre4",4.7
"243",122,2,3,4,4,2,3,3,4,3,3,4,3,3,4,4,4,3,4,32,0.888888889,25,0.694444444,79,0.658333333,2,4,3.9,5.2,"below",6,3.7,15.599477,65.927505,"pre1",5.2
"244",122,2,3,4,4,2,3,3,4,3,3,4,3,3,4,4,4,3,4,32,0.888888889,25,0.694444444,79,0.658333333,2,4,3.9,5.2,"below",6,3.7,15.599477,65.927505,"pre4",4.4
"245",123,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,25,0.694444444,23,0.638888889,78,0.65,2,0.5,0.4,4.3,"below",5.55,3.35,8.539218,42.584935,"pre1",2
"246",123,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,25,0.694444444,23,0.638888889,78,0.65,2,0.5,0.4,4.3,"below",5.55,3.35,8.539218,42.584935,"pre4",5
"247",124,2,4,4,3,3,3,3,4,2,3,3,3,0,2,4,1,3,3,29,0.805555556,26,0.722222222,82,0.683333333,2,4.4,0.7,5.9,"control",7,2.15,2.713542,34.1605,"pre1",3.2
"248",124,2,4,4,3,3,3,3,4,2,3,3,3,0,2,4,1,3,3,29,0.805555556,26,0.722222222,82,0.683333333,2,4.4,0.7,5.9,"control",7,2.15,2.713542,34.1605,"pre4",6.8
"249",125,1,2,2,0,2,2,3,0,3,4,2,2,0,4,3,0,2,4,35,0.972222222,30,0.833333333,88,0.733333333,2,1.9,1.5,2.2,"below",5.15,3.55,5.418237,38.44862,"pre1",3.6
"250",125,1,2,2,0,2,2,3,0,3,4,2,2,0,4,3,0,2,4,35,0.972222222,30,0.833333333,88,0.733333333,2,1.9,1.5,2.2,"below",5.15,3.55,5.418237,38.44862,"pre4",3.7
"251",126,3,4,4,1,3,3,4,4,1,4,3,4,3,3,4,2,3,4,28,0.777777778,21,0.583333333,75,0.625,2,4.4,5.6,3,"below",5.8,3.55,9.8949285,47.676405,"pre1",4.7
"252",126,3,4,4,1,3,3,4,4,1,4,3,4,3,3,4,2,3,4,28,0.777777778,21,0.583333333,75,0.625,2,4.4,5.6,3,"below",5.8,3.55,9.8949285,47.676405,"pre4",5
"253",127,2,3,2,1,2,2,3,2,3,1,2,2,3,1,3,1,2,1,25,0.694444444,25,0.694444444,84,0.7,1,5.4,7,7.3,"above",5.9,2.9,4.697852,41.68368,"pre1",4.8
"254",127,2,3,2,1,2,2,3,2,3,1,2,2,3,1,3,1,2,1,25,0.694444444,25,0.694444444,84,0.7,1,5.4,7,7.3,"above",5.9,2.9,4.697852,41.68368,"pre4",7.5
"255",128,2,2,3,3,3,3,2,3,1,1,1,1,4,1,4,2,2,1,33,0.916666667,33,0.916666667,93,0.775,2,3.4,2.1,0.5,"below",5.3,3.4,6.0631235,45.971035,"pre1",5
"256",128,2,2,3,3,3,3,2,3,1,1,1,1,4,1,4,2,2,1,33,0.916666667,33,0.916666667,93,0.775,2,3.4,2.1,0.5,"below",5.3,3.4,6.0631235,45.971035,"pre4",1.7
